OJO NO USAR ESTE,referencias ,,,PEDIDO SUR ,PEDIDO NORTE,,INVENT SUR mar 21,INVENT NTE ,FECHA VCMTO,PRECIO COMPRA,     precio venta ,IVA,PRECIO MALTERO,%,VR PEDIDO 
PORTA LIJA,241023,,,0,0,Masterdent,,40,,$2.197,$4.000,,,"0,82",$0
Portamatriz instrumental Delta,,no pedir,,0,,DELTA ,0,,,$20.000,$30.000,,,"0,50",$0
Poste fibra de vidrio amarillo en blister x5,,,,0,0,IMPORTADA,,21,,$1.800,$15.000,,$10.000,"7,33",$0
"Poste fibra de vidrio Angelus EXACTO # 0,5",,,,0,,ABRAHAM,,0,,$29.400,$36.000,,,"0,22",$0
Poste fibra de vidrio Angelus EXACTO # 1,,,,,,,,,,,,,,,
Poste fibra de vidrio Angelus REFORPOST,,,,0,0,ABRAHAM,,0,,$16.160,$21.000,,,"0,30",$0
Poste fibra de vidrio cuadrado,,,,0,0,IMPORTADA,,17,,$1.800,$15.000,,,"7,33",$0
Poste fibra de vidrio kit cuadrado completo con fresas,,,,0,0,IMPORTADA,,17,,$1.800,$60.000,,,"32,33",$0
Poste fibra de vidrio REDONDO,,,pedir,0,3,IMPORTADA,,1,,$1.800,$15.000,,,"7,33",$5.400
POSTE FIBRA VIDRIO TENAX COLTENE,,,pedi nov 6,0,5,Ultradental ,,,,$25.500,$30.000,EXC,,"0,18",#REF!
POSTE TITANIO TENAX COLTENE,,,,0,0,Ultradental ,,negro 7 blanco 12,,$21.420,$30.000,EXC,,"0,40",#REF!
Prensa para 1 mufla,,,,0,0,Monica AQUILES ,,0,,$48.000,$70.000,,,"0,46",$0
Prensa para 2 muflas ,,,,0,0,Monica AQUILES ,,2,,$94.500,$130.000,,,"0,38",$0
Primma art 7 gr FGM - visacril - visalis  Color A1 ,SOCCID 68300 plus $68000,PRECIO 20 MAYO,68300,0,0,FGM soccident,,,10-2025,$72.000,$100.000,EXC,,"0,39",$0
Primma art 7 gr FGM - visacril - visalis  Color A2,SOCCID 68300 plus $68000,PRECIO 20 MAYO,68300,0,0,FGM soccident,,,1/3/2025 01-2026,$72.000,$100.000,EXC,,"0,39",$0
Primma art 7 gr FGM - visacril - visalis  Color-Bleach,SOCCID 68300 plus $68000,PRECIO 20 MAYO,68300,0,0,FGM soccident,,,04-2025,$72.000,$100.000,exc,,"0,39",$0
Primma art 75gr FGM - visacril - visalis  Color-Bleach,plus $272000,PRECIO 20 MAYO,272600,0,0,FGM soccident,,,,$272.600,$340.000,exc,$210.000,"0,25",$0
probeta de cristal vidrio ,,,,0,0,aquiles,,7,,$25.000,$45.000,,,"0,80",$0
probeta plastica tipo cristal  PQTE X 10,,,,1,10,aquiles,,16,,$3.927,$6.000,,,"0,53",$39.270
Profijet,"imporquirurgica $90,000 importado $52300",,,0,0,BOGOTA,,4,,$115.000,$200.000,,,"0,74",$0
PROTECTOR DE CEPILLO ,,,,0,0,OXXI zendent ,,100,,$141,$500,,,"2,55",$0
Protector de Jeringa TRIPLE x paquete,,,,0,2,RAMON quirudent,,,,$12.000,$20.000,,,"0,67",$24.000
Protector de lampara naranja,,,,0,0,importado,,9,,,,,,,
PULIDOR AZDENT ESPIRAL SHAPEWARD POLISHERS KIT X 3,,,,0,0,IMPORTADO,,5,,$27.500,$90.000,,$60.000,"2,27",$0
PULIDOR AZDENT ESPIRAL SHAPEWARD POLISHERS KIT X 6,,,,0,0,IMPORTADO,,,,$55.000,$150.000,,$110.000,"1,73",
PULIDOR BALA BEIGE GRANO FINO ,240033,w,,0,0,Masterdent AQUILES importado,,70,,$3.618,$9.000,,,"1,49",$0
PULIDOR BALA GRIS GRANO GRUESO,240031,w,,0,0,Masterdent AQUILES importado,,80,,$3.618,$9.000,,,"1,49",$0
PULIDOR BALA VERDE GRANO MEDIANO ,240032,w,,0,0,Masterdent AQUILES importado,,70,,$3.618,$9.000,,,"1,49",$0
PULIDOR DIATECH SHAPEWARD coltene POLISHERS  KIT X 2  espiral,$120.137,PEDI A ULTRAD 5,,0,0,ULTRADENTAL,,18,,$128.520,$165.000,IVA,$148.000,"0,28",$0
PULIDOR EN LLAMA GRANO EXTRA GRUESO ROJO,240037,,,0,0,Masterdent AQUILES,,0,,3605,$9.000,,,"1,50",$0
PULIDOR EN LLAMA GRANO FINO AMARILLO,240040,,,0,0,Masterdent AQUILES,,revisar,,3605,$9.000,,,"1,50",$0
PULIDOR EN LLAMA GRANO GRUESO GRIS,240038,,,0,0,Masterdent AQUILES,,revisar,,3605,$9.000,,,"1,50",$0
PULIDOR EN LLAMA GRANO MEDIANO VERDE,240039,,,0,0,Masterdent AQUILES,,50,,3605,$9.000,,,"1,50",$0
PULIDOR EN PUNTA AMARILLO GRANO FINO,240030,,,0,0,Masterdent AQUILES,,revisar,,$6.249,$9.000,,,"0,44",$0
PULIDOR EN PUNTA GRIS GRANO GRUESO,240028,,,0,0,Masterdent AQUILES,,revisar,,$6.249,$9.000,,,"0,44",$0
PULIDOR EN PUNTA VERDE GRANO MEDIANO,240029,,,0,0,Masterdent AQUILES,,revisar,,$6.249,$9.000,,,"0,44",$0
PULIDOR HONGO GRANO  GRUESO GRIS,240025,,,0,0,Masterdent AQUILES,,12,,$6.249,$9.000,,,"0,44",$0
PULIDOR HONGO GRANO FINO AMARILLO,240027,,,0,0,Masterdent AQUILES,,20,,$6.249,$9.000,,,"0,44",$0
PULIDOR HONGO GRANO MEDIANO VERDE,240026,,,0,0,Masterdent AQUILES,,50,,$6.249,$9.000,,,"0,44",$0
pulidores de fieltro alpino 3mm pequeños pulir ,,,,0,10,la muela ,,10,,$2.700,$6.000,,,"1,22",$27.001
pulidores de fieltro alpino 5mm pequeños pulir ,,,,0,10,la muela ,,10,,$2.700,$6.000,,,"1,22",$27.001
PULIDORES PARA FLEXIBLES - Azul Grano Fino BALA,241060,,,0,0,Masterdent AQUILES,,20,,$4.505,$9.000,,,"1,00",$0
PULIDORES PARA FLEXIBLES - Gris Grano Grueso BALA,241058,,,0,0,Masterdent AQUILES,,20,,$4.505,$9.000,,,"1,00",$0
PULIDORES PARA FLEXIBLES - Rosado Grano Medio BALA,241059,,,0,0,Masterdent AQUILES,,20,,$4.505,$9.000,,,"1,00",$0
PUNTA CAVITRON ,,,,0,,RAMON,,,,$80.000,$150.000,,,"0,88",$0
punta de Pulido one gloss Conica,,,,,,New Stetic,0,,,$6.600,$14.000,,$11.000,"1,12",$0
punta de pulido one gloss Copa,,,,,,New Stetic,0,,,$6.600,$14.000,,,"1,12",$0
punta de pulido one gloss Lenteja ,,,,,,New Stetic,0,,,$6.600,$14.000,,,"1,12",$0
Punta intraoral,,,,0,,RAMON,,,,$250,$1.000,,,"3,00",$0
punta Jeringa TRIPLE plastica ,,,,0,0,aquiles abraham,,40,,$303,$500,,,"0,65",$0
punta Jeringa TRIPLE plastica x paquete,IMPORT $48978,,,0,0,aquiles abraham,,0,,$60.518,$80.000,,,"0,32",$0
punta metalica Jeringa TRIPLE ,IMPORT $1932,,,0,0,hector aquiles ,,100,,$4.760,$8.000,,,"0,68",$0
punta mezcladora cafes para duo link X UNIDAD,,,,,,JULVIDENT,,50,,$1.800,$3.000,,,"0,67",$0
punta mezcladoras amarillas,,,,,,abraham - ramon - julvident,,,,$960,$2.000,,,"1,08",$0
punta mezcladoras Azul naranja por dentro visalis ,,,,,,JULVIDENT,,100,,$976,$3.000,,,"2,07",$0
punta mezcladoras blanca,,,,0,0,,,192,,,,,,#DIV/0!,
punta mezcladoras CUADRADAS NUEVAS TRANSP AZUL,,,,,,JULVIDENT,,100,,$1.875,$3.000,,,"0,60",$0
punta mezcladoras Roja,promo $1594 mayo/25,,,,,JULVIDENT,,100,,$1.594,$3.000,,,"0,88",$0
punta mezcladoras verdes,,,,,,JULVIDENT,,300,,$1.162,$3.000,,,"1,58",$0
Puntas de Papel 1ra  SERIE,DAZA $19278 RAMON $18903 abraham $14530  SOCCID #13800,,,0,0,ABRAHAM RAMON Daza SOCCIDENTALES,,,,$14.900,$20.000,exc,,"0,34",#REF!
Puntas de Papel 2da SERIE,DAZA $19278 RAMON $18903 abraham $14530  SOCCID #13800,,,0,0,ABRAHAM RAMON Daza SOCCIDENTALES,,,,$14.530,$20.000,exc,,"0,38",#REF!
puntas delgada intraoral para duo link ,,,,10,0,ABRAHAM,,,,$2.083,$4.000,,,"0,92",$0
PUNTAS PARA PRIMMA ART AZULES CORTAS INDIVIDUAL ,,,,0,0,FGM,,,,$3.000,$4.000,,$3.000,,
PUNTAS PARA PRIMMA ART AZULES CORTAS PAQUETE X 20,,,,,,FGM,,,,$47.600,$59.500,,$54.000,,
Puntas scaler  x 5 puntas,,,,0,0,LARRY,,0,,$90.000,$170.000,,,"0,89",$0
Puntas scaler  x UNIDAD,,,,0,0,LARRY,,0,,$18.000,$50.000,,,"1,78",$0
quical dycal,,,,,,GAB VEL,,,,$36.000,$45.000,,,,
RADIOGRAFIA AIR TECHNIQUES DIGITAL,,,,0,0,IMPORTADA,,8,,$140.000,$250.000,,,"0,79",$0
Radiografia con iman #2,,,,0,0,importado,,,, $170.210, $290.000,,,,
Radiografia KODAK X CAJA CARESTREAM,,,,0,,RAMON la muela produser,,,,$187.850,$250.000,,,"0,33",$0
RADIOGRAFIA PELICULA FOSFORO ECONOMICA DIGITAL,,,,0,0,IMPORTADA,,0,,$122.670,$220.000,,,1,$0
RADIOGRAFIAS PARA NIÑOS,,,,0,,RAMON,,,,$800,$1.200,,,"0,50",$0
RATONCITOS CAJA X 72,,,pedir,0,1,DENTOLINE,,30,,$51.170,$90.000,,,"0,76",$51.170
RATONCITOS CAJA X 72,zendet x96 $52739 DYMA X 72 $41650,,PEDIR DYMA,0,1,ZENDENT DENTOLINE DYMA,,0,,$41.650,$80.000,,,"0,92",$41.650
RATONCITOS UNIDAD,,,,0,0,ZENDENT,,0,,$578,$2.000,,,"2,46",$0
RAYOS X PARED ,,,,0,,RAMON ,,,,$4.690.000,$5.628.000,,,"0,20",$0
RAYOS X PORTATIL ,,,,0,,RAMON ,,,,$3.960.000,$4.800.000,,,"0,21",$0
RC prep  jeringa caja x 5,,,,1,0,abraham ramon,,,11-2025,$34.270,$42.000,,,"0,23",$0
Recipiente familiar  1.8 litros O 3 rimo,,,,0,,CENTRO- LA 15- la 13 - la mejor,,,,$3.400,$6.000,,,"0,76",$0
Recipiente redondo TAPER hermetico  mini lujo,, ,,0,0,PERSAL CENTRO- LA 15- la 13 ,0,5,,$3.995,$7.000,,,"0,75",$0
registro mordida futar clear TRANSPARENTE X unidad silicona,,silic REG MORD TRANSP,,,,JULVIDENT panasil,4 jun / 9 oct ,22,06-2025,$87.120,$120.000,,$70.000,"0,38",$0
registro mordida futar D silicona,,silic REG MORD,,,,JULVIDENT panasil,,5,,$91.000,$120.000,,$100.000,"0,32",$0
Registro mordida obite DMG SILICONA,,silic REG MORD,,0,0,ABRAHAM,,0,,$96.500,$120.500,,,"0,25",$0
Regular COLTENE silicona medium,,silic REGULAR,,0,0,ULTRADENTAL ,,0,,$82.400,$120.000,,$100.000,"0,46",$0
Regular DMG  silicona medium Silagum,,silic REGULAR,,0,0,ABRAHAM,,0,,$92.600,$115.700,,,"0,25",$0
REGULAR PANASIL Silicona,promo $77350 mayo/25,silic REGULAR,,,,JULVIDENT panasil,,41,,$87.120,$120.000,,,"0,38",$0
Regular ZHERMACK silicona ,euro $109044,silic REGULAR,,0,12,MASDENTAL EURODENT,,0,,$114.500,$160.000,,,"0,40",$1.374.000
Rejillas PAQUETE X 12,aquiles 6664,,,0,0,Aquiles,,20,,$555,$1.500,,,"1,70",$0
RELIX U 2OO ,GABRIEL VELAZQUEZ XM $414.  /// MARKET XM$409.  /// CESAR 450 /// POPAY $415 /// VTA PUBLIC 489,,,0,,GABRIEL VELAZ MARKET MASDENTAL RAMON ,,,08-2025,$415.000,$490.000,exc,,"0,18",$0
Relyx Ultimate Translucido,,,,0,0,Dentales Market,,1,,$331.000,$430.000,exc,,"0,30",$0
removedor de Calculo Taylor CK4 Delta Instrumental,ST2/3 ,,,4,,DELTA ,1,,,$77.091,$105.000,,$95.000,"0,36",$0
Removedor de coronas Tumba coronas en T,CRCH3,,,2,,DELTA ,0,,,$153.153,$230.000,,,"0,50",$0
REPUESTO CEPILLO INTERDENTAL a granel,,,pedir,0,100,DENTOLINE,,30,,$595,$1.000,,,"0,68",$59.500
REPUESTO CEPILLO INTERDENTAL a granel,,,,0,0,ZENDENT,,,,$609,$1.500,,,"1,46",#REF!
REPUESTO LIJA TDV MICROCUT ,,,,0,0,ABRAHAM,,3,18-2027,$64.700,$80.800,"0,19",,"0,25",$0
Repuesto pincel para acido x 50 unidades,,,,0,0,Aquiles,,4,,$8.140,$12.000,,,"0,47",$0
Repuesto pincel para acido x unidad,,BORRAR,,0,0,Aquiles,,200,,$163,$400,,,"1,46",$0
Repuesto reforpost #1,,,,0,0,ABRAHAM,,,,$7.110,$12.000,,,"0,69",$0
Repuesto reforpost #2,,,,0,0,ABRAHAM,,,,$7.110,$12.000,,,"0,69",$0
Repuesto reforpost #3,,,,0,0,ABRAHAM,,,,$7.110,$12.000,,,"0,69",$0
REPUESTO SIERRA TDV MICROCUT ,2508588001,,,0,0,ABRAHAM,,3,03-2027,$64.700,$80.800,,,"0,25",$0
Repuestos de visor  UPEGUI,,,,0,,RAMON DENTAL LA U,,,,$6.000,$9.000,,,"0,50",$0
Repuestos de visor LA U,,,,0,,RAMON DENTAL LA U,,,,$10.000,$16.000,,,"0,60",$0
resin 74,,,,0,,RAMON,,,,$48.500,$72.000,,,"0,48",$0
RESINA 3M  Z 100 A3.5 4g,,,,0,,RAMON,,,,$29.800,$45.000,EXC,,"0,51",$0
Resina 3M  Z 250 B2,la muela $41000 Dora $43000 gabriel velasquez $46900,,,0,,RAMON-DORA-GABRIEL VELAZQUES LA MUELA,,,,$42.000,$60.000,EXC,,"0,43",$0
resina 3M p60-a3,miguel $100 pasto $110,,,0,,RAMON-DORA-GABRIEL VELAZQUES,,,06-2026,$120.000,$180.000,EXC,$150.000,"0,50",$0
resina 3M p60-B2,miguel $100 pasto $110,,,0,,RAMON-DORA-GABRIEL VELAZQUES,,,,$120.000,$180.000,EXC,$150.000,"0,50",$0
RESINA 3M Z 100  A1 4g,,,,0,,RAMON,,,,$29.800,$45.000,EXC,,"0,51",$0
RESINA 3M Z 100  A2 4g,,,,0,,RAMON,,,,$29.800,$45.000,EXC,,"0,51",$0
RESINA 3M Z 100 A3 4g,,,,0,,RAMON,,,,$30.800,$45.000,EXC,,"0,46",$0
RESINA 3M Z 100 B2 4g,,,,0,,RAMON,,,,$29.800,$45.000,EXC,,"0,51",$0
Resina 3M Z 250 A1,la muela $41000 Dora $43000 gabriel velasquez $46901,,,0,5,RAMON-DORA-GABRIEL VELAZQUES LA MUELA,,,,$42.000,$60.000,EXC,,"0,43",$210.000
Resina 3M Z 250 A2,"la muela $41000 Dora $43000 gabriel velasquez $46902 ramon $47,000",,,0,5,RAMON-DORA-GABRIEL VELAZQUES LA MUELA,,,01-2027,$42.000,$60.000,EXC,,"0,43",$210.000
Resina 3M Z 250 A3,la muela $41000 Dora $43000 gabriel velasquez $46903 ramon $47000,,,0,2,RAMON-DORA-GABRIEL VELAZQUES LA MUELA,,,,$42.000,$60.000,EXC,,"0,43",$84.000
Resina 3M Z 350 A1 1g,,,,0,,RAMON-DORA-GABRIEL VELAZQUES,,,,$32.000,$48.000,EXC,,"0,50",$0
Resina 3M Z 350 A1 4g,gabriel velasquez $130000 ramon $160.000,,,0,2,RAMON-DORA-GABRIEL VELAZQUES,,,,$155.000,$180.000,EXC,,"0,16",$310.000
Resina 3M Z 350 A2 1g,,,,0,,RAMON-DORA-GABRIEL VELAZQUES,,,,$32.000,$48.000,EXC,,"0,50",$0
Resina 3M Z 350 A2 4g,gabriel velasquez $153000,,pedir,0,2,RAMON-DORA-GABRIEL VELAZQUES,,,,$155.000,$180.000,EXC,,"0,16",$310.000
Resina 3M Z 350 A3 1g,,,,0,,RAMON-DORA-GABRIEL VELAZQUES,,,,$32.000,$48.000,EXC,,"0,50",$0
Resina 3M Z 350 B1  4g,gabriel velasquez $153000,,,0,,RAMON-DORA-GABRIEL VELAZQUES,,,,$155.000,$180.000,EXC,,"0,16",$0
Resina 3M Z 350 WE  4g,gabriel velasquez $153000,,,0,,RAMON-DORA-GABRIEL VELAZQUES,,,09-2026,$155.000,$180.000,EXC,,"0,16",$0
Resina Applic Dentina A1,,,,0,0,SOCCIDENTALES,,0,,$28.644,$40.000,EXC,,"0,40",$0
Resina Applic Dentina A2,,,,0,0,SOCCIDENTALES,,0,,$28.644,$40.000,EXC,,"0,40",$0
Resina Applic Dentina A3,,,,0,0,SOCCIDENTALES,,0,,$28.644,$40.000,EXC,,"0,40",$0
Resina Applic Dentina A3.5,,,,0,0,SOCCIDENTALES,,0,,$28.644,$40.000,EXC,,"0,40",$0
Resina Applic Esmalte A1,,,,0,0,SOCCIDENTALES,,0,,$28.644,$40.000,EXC,,"0,40",$0
Resina Applic Esmalte A2,,,,0,0,SOCCIDENTALES,,0,,$28.644,$40.000,EXC,,"0,40",$0
Resina Applic Esmalte A3,,,,0,0,SOCCIDENTALES,,0,,$28.644,$40.000,EXC,,"0,40",$0
Resina Applic Esmalte A3.5,,,,0,0,SOCCIDENTALES,,0,,$28.644,$40.000,EXC,,"0,40",$0
Resina bisacrilica LUXATEM DMG,,,,0,0,ABRAHAM,,0,,$389.000,$450.000,,,"0,16",$0
Resina Brillant A1-B1 Dentina,$33.000,,,0,4,ULTRADENTAL,,0,,$46.297,$58.000,EXC,$52.000,"0,25",$185.188
Resina Brillant A1-B1 Esmalte ,$33.000,,,0,4,ULTRADENTAL,,0,,$46.297,$58.000,EXC,$52.000,"0,25",$185.188
Resina Brillant A2-B2 Dentina,$33.000,,,0,5,ULTRADENTAL,,1,,$46.297,$58.000,EXC,$52.000,"0,25",$231.485
Resina Brillant A2-B2 Esmalte ,$33.000,,,0,5,ULTRADENTAL,,0,,$46.297,$58.000,EXC,$52.000,"0,25",$231.485
Resina Brillant A3-D3 Dentina,$33.000,,,0,2,ULTRADENTAL,,1,,$46.297,$58.000,EXC,$52.000,"0,25",$92.594
Resina Brillant A3-D3 Esmalte ,$33.000,,,0,2,ULTRADENTAL,,0,,$46.297,$58.000,EXC,$52.000,"0,25",$92.594
Resina Brillant A3.5   Esmalte ,$33.000,,,0,1,ULTRADENTAL,,0,,$46.297,$58.000,EXC,$52.000,"0,25",$46.297
Resina brillant A3.5 Dentina,$33.000,,,0,1,ULTRADENTAL,,0,,$46.297,$58.000,EXC,$52.000,"0,25",$46.297
Resina Charisma jeringa 4gr BL,,ALTA ESTETICA,,0,0,MASDENTAL,,46,,$180.000,$260.000,EXC,promo fecha $190000,"0,44",$0
Resina Charisma jeringa 4gr BLX,,ALTA ESTETICA,,0,0,MASDENTAL,,29,,$180.000,$260.000,EXC,$220.000,"0,44",$0
Resina Charisma jeringa 4gr OB,,ALTA ESTETICA,,0,0,MASDENTAL,,29,,$180.000,$260.000,EXC,$220.000,"0,44",$0
Resina compuesta uniporcion,,,,0,,abraham ramon,,,,$3.000,$6.000,EXC,,"1,00",$0
Resina Densell Estetic NanoFiller A1 4 G,,,,0,,RAMON,,,,$16.000,$30.000,EXC,,"0,88",$0
Resina Densell Estetic NanoFiller A2 4 G,,,,0,,RAMON,,,,$16.000,$30.000,EXC,,"0,88",$0
Resina Densell Estetic NanoFiller A3 4 G,,,,0,,RAMON,,,,$16.000,$30.000,EXC,,"0,88",$0
Resina EVERX POSTERIOR ,promo 22500,,,0,0,La muela,,1,12-2025,$24.000,$36.000,EXC,$30.000,"0,50",$0
Resina EVERX POSTERIOR  CAJA X15,,,,0,0,La muela,,,,$360.000,$460.000,,$410.000,,
Resina fluida  BRILLANT 2.3G  Solo color  A1,$33.000,,,0,0,ULTRADENTAL,,12,,$33.000,$58.000,EXC,$52.000,"0,76",$0
Resina fluida  BRILLANT 2.3G  Solo color  A2,$33.000,,,0,16,ULTRADENTAL,,0,,$33.000,$58.000,EXC,$52.000,"0,76",$528.000
Resina fluida  BRILLANT 2.3G  Solo color  A3,$33.000,,,0,0,ULTRADENTAL,,0,,$33.000,$58.000,EXC,$52.000,"0,76",$0
Resina fluida  Natural flow Nova DFL 2.4 Gr,,,,0,0,CLAUDIA,,0,,$27.000,$48.000,EXC,,"0,78",$0
resina fluida 3M bulk Fill A1,,,,0,,RAMON ,,,,$88.000,$130.000,EXC,,"0,48",$0
resina fluida 3M bulk Fill A2,,,,0,,RAMON ,,,,$93.000,$130.000,EXC,,"0,40",$0
Resina fluida Applic FLow  Maquira 2 Gr A3,ramon $29.000 COMPRE socci 22880 ORTHO PROF $20.000,,,0,0,RAMON SOCCIDENTALES CLAUDIA,,,,$22.880,$38.000,EXC,,"0,66",$0
Resina fluida applic FLow Maquira 2 Gr A1,ramon $29.000 COMPRE socci 22880 ORTHO PROF $20.000,,,0,0,RAMON SOCCIDENTALES CLAUDIA,,,,$22.880,$38.000,EXC,,"0,66",$0
Resina fluida applic FLow Maquira 2 Gr A2,ramon $29.000 COMPRE socci 22880 ORTHO PROF $20.000,PRECIO 20 MAYO,22000,0,0,RAMON SOCCIDENTALES CLAUDIA,,,,$22.880,$38.000,EXC,$28.000,"0,66",$0
Resina Fluida Densell Hibrilux A1 Jeringa 1Gr,,,,0,5,RAMON DORA,,,,$25.000,$36.000,EXC,,"0,44",$125.000
Resina Fluida Densell Hibrilux A2 Jeringa 1Gr,,,,0,5,RAMON DORA,,,02-2027,$25.000,$36.000,EXC,,"0,44",$125.000
resina fluida wave SDI A3,,,,0,0,CLAUDIA,,0,,$31.600,$44.000,EXC,,"0,39",$0
resina fluida wave SDI GENGI,,,,0,0,CLAUDIA,,0,,$31.600,$44.000,EXC,,"0,39",$0
Resina Forma Ultradent A1 B ALTA ESTETICA,gabriel velasq $79458,PRECIO 20 MAYO,62500,0,0,Gabriel Vel pluss ,2,1,,$76.458,$98.000,EXC,$88.000,"0,28",$0
Resina Forma Ultradent A1 D,,,,0,0,Gabriel Vel pluss ,1,2,,$76.458,$98.000,EXC,$88.000,"0,28",$0
Resina Forma Ultradent A1 E,,,,0,0,Gabriel Vel pluss ,1,0,,$76.458,$98.000,EXC,$88.000,"0,28",$0
Resina Forma Ultradent A2 B,,,,0,0,Gabriel Vel pluss ,1,2,,$76.458,$98.000,EXC,$88.000,"0,28",$0
Resina Forma Ultradent A2 D,,PRECIO 20 MAYO,62500,0,0,Gabriel Vel pluss ,2,1,,$76.458,$98.000,EXC,$88.000,"0,28",$0
Resina Forma Ultradent A2 E,,,,0,0,Gabriel Vel pluss ,1,4,,$76.458,$98.000,EXC,$88.000,"0,28",$0
Resina Forma Ultradent BL1,,PRECIO 20 MAYO,62500,0,0,Gabriel Vel pluss ,1,0,03-2027,$76.458,$98.000,EXC,$88.000,"0,28",$0
Resina Forma Ultradent BL2 ,,PRECIO 20 MAYO,62500,0,0,Gabriel Vel pluss ,1,7,05-2027,$76.458,$98.000,EXC,$88.000,"0,28",$0
Resina Forma Ultradent INCISAL ,,PRECIO 20 MAYO,62500,0,0,Gabriel Vel pluss ,1,0,03-2027,$76.458,$98.000,EXC,$88.000,"0,28",$0
Resina Forma Ultradent traslucida,,,,0,0,Gabriel Vel pluss ,2,3,03-2027,$76.458,$98.000,EXC,$88.000,"0,28",$0
Resina Forma Ultradent XWB ,,PRECIO 20 MAYO,62500,2,0,Gabriel Vel pluss ,0,4,04-2027,$76.458,$98.000,EXC,$88.000,"0,28",$0
Resina Forma Ultradent XWE,,,,0,0,Gabriel Vel pluss ,2,4,04-2027,$76.458,$98.000,EXC,$88.000,"0,28",$0
RESINA KERR Herculite A1 Enamel,,,,0,0,Pluss Dent GAB VEL,1,0,,$97.600,$120.000,EXC,$102.000,"0,23",$0
RESINA KERR Herculite A2 Enamel,,,,0,0,Pluss Dent GAB VEL,1,0,,$97.600,$120.000,EXC,$102.000,"0,23",$0
RESINA KERR Herculite XL Enamel,promo junio $87860,,,0,0,Pluss Dent GAB VEL,6,15,03-2027,$97.600,$120.000,EXC,$102.000,"0,23",$0
RESINA KERR Herculite XL2 Enamel,promo junio $87860,,,0,0,Pluss Dent GAB VEL,11,10,02-2027,$97.600,$120.000,EXC,$102.000,"0,23",$0
RESINA KERR Neofil A1  4 gramos,,,,0,0,Pluss Dent GAB VEL,0,0,04-2027,$26.700,$38.000,EXC,,"0,42",$0
RESINA KERR Neofil A2  4 gramos,,,,0,0,Pluss Dent GAB VEL,0,0,04-2027,$26.700,$38.000,EXC,,"0,42",$0
RESINA KERR Neofil A3  4 gramos,,,,0,0,Pluss Dent GAB VEL,0,0,,$26.700,$38.000,EXC,,"0,42",$0
Resina LLIS FGM D - A1 dentina,promo 27000 SOCCID $29600 plus $28500,,,0,0,FGM soccident,,,,$28.800,$46.000,EXC,,"0,60",$0
Resina LLIS FGM D - A2 dentina,promo 27000 SOCCID $29600 plus $28500,,,0,0,FGM soccident,,,,$28.800,$46.000,EXC,,"0,60",$0
Resina LLIS FGM D - A3  dentina,,,,0,0,FGM soccident,,,,$28.800,$46.000,EXC,,"0,60",$0
Resina LLIS FGM D - A3.5 dentina,,,,0,0,FGM soccident,,,,$28.800,$46.000,EXC,,"0,60",$0
Resina LLIS FGM E - A1 esmalte,,,,0,0,FGM soccident,,,,$28.800,$46.000,EXC,,"0,60",$0
Resina LLIS FGM E - A2 esmalte,,,,0,0,FGM soccident,,,,$28.800,$46.000,EXC,,"0,60",$0
Resina LLIS FGM E - A3 esmalte,,,,0,0,FGM soccident,,,,$28.800,$46.000,EXC,,"0,60",$0
Resina LLIS FGM E - A3.5  esmalte,,,,0,0,FGM soccident,,,,$28.800,$46.000,EXC,,"0,60",$0
Resina Opallis Flow Fluida A1 FGM,antioq $30000 soccid $ 28700 plus $28800,,,0,0,FGM SOCCIDENTAL,,,,$30.400,$48.000,EXC,,"0,58",$0
Resina Opallis Flow Fluida A2  FGM ,antioq $30000 soccid $ 28700 plus $28800,,,0,0,FGM SOCCIDENTAL,,,,$30.400,$48.000,EXC,,"0,58",$0
Resina Opus Flow APS BULK FILL A1,compre promo $59500,,,0,2,FGM masdental soccidentales,,0,,$72.000,$100.000,,,"0,39",$144.000
Resina Opus Flow APS BULK FILL A2,compre promo $59501,PRECIO 20 MAYO,62000,0,2,FGM masdental soccidentales,,0,06-2025,$72.000,$100.000,,,"0,39",$144.000
RESINA ORTODONCIA HELIOSIT ,,,,0,0,no se,,0,,$23.000,$40.000,EXC,,"0,74",$0
Resina Palfique LX5 TOKUYAMA color A1,promo $170.000 mayo/25,,,,,JULVIDENT MASDENTAL,,1,,$213.000,$260.000,EXC,$200.000,"0,22",$0
Resina Palfique LX5 TOKUYAMA color A2 esmalte,promo $170.000 mayo/25,,,,,JULVIDENT MASDENTAL,,0,,$213.000,$260.000,EXC,$200.000,"0,22",$0
Resina Palfique LX5 TOKUYAMA color BW,promo $170.000 mayo/25,,,,,JULVIDENT MASDENTAL,,1,,$213.000,$260.000,EXC,$200.000,"0,22",$0
Resina Palfique LX5 TOKUYAMA color WE,promo $170.000 mayo/25,,,,,JULVIDENT MASDENTAL,,0,,$213.000,$260.000,EXC,$200.000,"0,22",$0
resina restaurativa compuesta 3M bulk Fill A2,miguel $100,,,0,,RAMON ,,,,$88.000,$130.000,EXC,,"0,48",$0
Resina SDI LUNA Enamel 4 g,,,,0,0,ABRAHAM,,0,,$40.000,$54.000,EXC,,"0,35",$0
Resina Solare LATIN Amarilla A1,,,,0,0,La muela,,3,01-2026,$87.250,$115.000,EXC,$94.000,"0,32",$0
