OJO NO USAR ESTE,referencias ,,,PEDIDO SUR ,PEDIDO NORTE,,INVENT SUR mar 21,INVENT NTE ,FECHA VCMTO,PRECIO COMPRA,     precio venta ,IVA,PRECIO MALTERO,%,VR PEDIDO 
Acrilico auto 125 g JB,,,,,,New Stetic,0,15,,$18.683,$24.000,"1,19",$22.000,"0,28",$0
Acrilico auto 125 g TRANSPARENTE,,,,,,New Stetic,0,19,,$18.683,$24.000,"1,19",$22.000,"0,28",$0
Acrilico auto 125 g VR1,,,,,,New Stetic,0,15,,$18.683,$24.000,"1,19",$22.000,"0,28",$0
Acrilico auto 60 g A 3.5,,,,,,New Stetic,0,3,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico auto 60 g A0,,,,,,New Stetic,0,1,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico Auto 60 g A1,,,,,,New Stetic,0,12,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico auto 60 g A2,,,,,,New Stetic,0,7,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico auto 60 g A3,,,,,,New Stetic,0,5,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico Auto 60 g B2 ,,,,,,New Stetic,0,4,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico auto 60 g JB,,,,,,New Stetic,0,10,,$9.639,$14.000,"1,19",$12.000,"0,45",$0
Acrilico auto 60 g Transparente,,,,,,New Stetic,0,14,,$9.639,$14.000,"1,19",$12.000,"0,45",$0
Acrilico auto 60 g VR1,,,,,,New Stetic,0,7,,$9.639,$14.000,"1,19",$12.000,"0,45",$0
Acrilico auto 60 g VRX,,,,,,New Stetic,0,10,,$9.639,$14.000,"1,19",$12.000,"0,45",$0
Acrilico auto JB 500 gm,,,,,,New Stetic,0,2,1/10/2025 09-2026,$55.167,$70.000,,$64.000,"0,27",$0
Acrilico auto liquido 1000 cc,,,,,,New Stetic,0,1,05-2027,64736,$78.000,,$72.000,"0,20",$0
Acrilico auto liquido 110 ml,,,,,,New stetic,0,53,05-2027,$10.948,$15.000,$4.052,$12.000,"0,37",$0
Acrilico auto liquido 250 ml ,,,,,,New Stetic,0,6,06-2027,$18.564,$27.000,,$23.000,"0,45",$0
Acrilico auto liquido 500 cc,,,,,,New Stetic,0,3,04-2027,$34.391,$46.000,,$39.000,"0,34",$0
Acrilico AUTO liquido 55 ml ,,,,,,New Stetic,0,0,05-2027,$6.426,$11.000,$4.574,$9.000,"0,71",$0
Acrilico auto Naranja para cubeta envasado x 125gm,,,,,,New Stetic,0,,,$9.000,$12.000,,,"0,33",$0
Acrilico auto ROSADO VR1 500 g ,,,,,,New Stetic ,0,1,02-2028,$55.167,$70.000,,$64.000,"0,27",$0
Acrilico auto transparente 1000 gr,,,,,,New Stetic,0,1,,$101.745,$130.000,,,"0,28",$0
Acrilico auto transparente 500 gr,,,,,,New Stetic,0,4,04-2028,$55.167,$70.000,,$64.000,"0,27",$0
Acrilico cubetas 1Kg 1000 ml Azul veracril,,,,,,New Stetic,0,,05-2028,$56.287,$72.000,,,"0,28",$0
Acrilico cubetas 1Kg 1000 ml Naranja veracril,,,,,,New Stetic,0,1,05-2028,$56.287,$72.000,,,"0,28",$0
Acrilico termo 125 g JB,,,,,,New Stetic,0,2,,$18.683,$24.000,"1,19",$22.000,"0,28",$0
Acrilico termo 125 g Transparente,,,,,,New Stetic,0,3,,$18.683,$24.000,"1,19",$22.000,"0,28",$0
Acrilico termo 125 g VR1,,,,,,New Stetic,0,3,,$18.683,$24.000,"1,19",$22.000,"0,28",$0
Acrilico termo 60 g A 3.5,,no volver a pedir ,,,,New Stetic,0,6,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico termo 60 g A0,,,,,,New Stetic,0,3,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico termo 60 g A1,,,,,,New Stetic,0,5,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico termo 60 g A2,,,,,,New Stetic,0,3,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico termo 60 g A3,,,,,,New Stetic,0,4,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico termo 60 g B2,,no volver a pedir ,,,,New Stetic,0,6,,$18.683,$24.000,"1,19",$21.000,"0,28",$0
Acrilico termo 60 g JB,,,,,,New Stetic,0,0,,$9.639,$14.000,"1,19",$12.000,"0,45",$0
Acrilico termo 60 g transp,,,,,,New Stetic,0,7,,$9.639,$14.000,"1,19",$12.000,"0,45",$0
Acrilico termo 60 g VR1,,,,,,New Stetic,0,0,,$9.639,$14.000,"1,19",$12.000,"0,45",$0
Acrilico termo 60 g VRX,,,,sur ,,New Stetic,0,10,,$9.639,$14.000,"1,19",$12.000,"0,45",$0
Acrilico termo Jaspe JB 500 g,,,,,,New Stetic,0,1,05-2027,$55.167,$70.000,,$64.000,"0,27",$0
Acrilico termo Jaspe VR1 500 g ,,,,,,New Stetic,0,1,08-2028,$55.167,$70.000,,$64.000,"0,27",$0
Acrilico termo liquido 110 ml ,,,,,,New Stetic,0,6,,$10.948,$15.000,,,"0,37",$0
Acrilico termo liquido 250 ml ,,,,,,New Stetic,0,0,06-2028,$18.564,$27.000,,$23.000,"0,45",$0
Acrilico TERMO liquido 500 cc,,,,,,New Stetic,0,1,,$34.391,$46.000,,,"0,34",$0
Acrilico TERMO liquido 55 ml,,,,,,New Stetic,0,13,,$6.426,$11.000,,$9.000,"0,71",$0
Acrilico VR1 Alto impacto  60 ml ,,,,,,New Stetic ,0,0,,$15.470,$25.000,"1,19",$20.000,"0,62",$0
Acrilico VR1 Alto impacto 125 ml,,,,,,New Stetic ,0,0,,$29.750,$40.000,"1,19",$35.000,"0,34",$0
Activador induren lab,,,,,,EURODENT,,,,,,,,,
ADAPTADOR convertidor  DE PIEZA 2 a 4 - 4 a 2,,,,0,0,LARRY alfredo,,,,$25.000,$50.000,,,,
ADHESIVO 3M 3 gr,RAMON $78.000 DORA $90.000 GABRIEL VELASQUEZ $99800 LA MUELA $65.000,,,0,0,RAMON GABRIEL VELAZQUES LA MUELA,,,06-2026,$86.573,$110.000,,,"0,27",$0
ADHESIVO 3M 6ml,RAMON $123.600 DORA $150.000,U,,0,0,RAMON la muela,,,03-2026,$124.000,$170.000,,$150.000,"0,37",$0
ADHESIVO 3M UNIVERSAL 5 ML,,,,0,0,RAMON la muela,,,30/5/2026 03-2027,$140.000,$190.000,,$175.000,"0,36",$0
Adhesivo AMBAR FGM 4 ML  naranja,antioq $58000 soccid $ 39900,,,0,0,FGM soccident,,,10-2025,$58.000,$70.000,,,"0,21",$0
Adhesivo AMBAR MORADO FGM 6ML APS,promo antioq $67500 SOCCID $64700,,,0,0,FGM soccident,,,4-2026,$76.000,$106.000,,$88.000,"0,39",$0
Adhesivo AMBAR ROJO FGM 5 ML APS Universal,antioq $120000 soccid $74600  plus $96000,PRECIO 20 MAYO,79100,0,0,FGM soccident,,,01-2026,$100.000,$140.000,exc,,"0,40",$0
Adhesivo bond 2.1 4ml maquira ,SOCCIDEN $22000,,,0,0,SOCCIDENTALES CLAUDIA,,3,09-2025,$24.000,$44.000,exc,$38.000,"0,83",$0
Adhesivo bond 2.1 5ml maquira,,,,0,0,SOCCIDENTALES CLAUDIA,,0,,$37.840,$56.000,exc,,"0,48",$0
Adhesivo bond 2.1 6ml maquira,,,No llego 14 AB,3,0,SOCCIDENTALES CLAUDIA,,1,04-2025,$39.732,$58.000,exc,,"0,46",$0
Adhesivo coltene COAT BOND,promo nov $72348,,,0,12,ultradental,,3,1/3/2026 01-206,$87.000,$105.000,exc,$98.000,"0,21",$1.044.000
Adhesivo DE RESINA Prime Dent,cardenas $24000,,,0,,RAMON,,,,$28.000,$42.000,,$35.000,"0,50",$0
Adhesivo OptiBond FL Kerr 6ML,,,,0,0,MASDENTAL  PLUSSDENT,0,0,,$171.100,$215.000,,,"0,26",$0
Adhesivo optibond KERR,,,,0,0,Pluss Dent GAB VEL,0,0,,$144.700,$180.000,,,"0,24",$0
Adhesivo optibond KERR UNIVERSAL,,,,0,0,Pluss Dent GAB VEL,0,0,,$280.000,$364.000,,,"0,30",$0
Adhesivo OptiBond S Kerr 6ML,,,,0,0,MASDENTAL  PLUSSDENT,0,0,,$103.000,$127.000,,,"0,23",$0
Adhesivo OptiBond S Kerr 6ML,,,,0,0,MASDENTAL  PLUSSDENT,0,0,,$103.400,$138.000,,,"0,33",$0
Adhesivo palfique bond tokuyama 5ml,,,,,,julvipdent,,1,,,,,,,
ADHESIVO PARA IMPRESION CUBETA ZHERMACK (ojo fecha vencimiento lejana),euro $46565,,,,,RAMON-gabriel velasquez masdental EURODENT,,,,$48.897,$69.000,,$58.000,"0,41",$0
ADHESIVO PARA IMPRESION CUBETA ZHERMACK porcion,,,,,,RAMON-gabriel velasquez masdental EURODENT,,,,$3.450,$4.000,,,"0,16",$0
